StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
8027,鈦昇,富邦,554.0,2,2,1.0
4716,大立,元大竹科,553.0,0,0,0.0
3037,欣興,中國信託,550.729,0,0,0.0
2801,彰銀,國票北高,540.0,0,0,0.0
8028,昇陽半導體,統一南京,538.0,0,0,0.0
2313,華通,富邦,538.0,5,3,0.6
2002,中鋼,富邦,535.965,6,0,0.0
2103,台橡,統一,534.0,1,1,1.0
9938,百和,凱基站前,534.0,0,0,0.0
2317,鴻海,國票安和,533.621,1,0,0.0
6770,力積電,台灣摩根,532.0,8,1,0.125
2890,永豐金,第一忠孝,527.1,4,0,0.0
3715,定穎投控,凱基站前,526.189,1,1,1.0
2606,裕民,美商高盛,525.592,7,3,0.42857142857142855
2368,金像電,國泰綜合,524.0,4,2,0.5
6261,久元,兆豐新竹,519.118,0,0,0.0
1314,中石化,玉山台南,518.1,1,0,0.0
3706,神達,凱基台北,517.5,7,3,0.42857142857142855
8021,尖點,凱基台北,516.0,1,0,0.0
2312,金寶,摩根大通,509.0,9,2,0.2222222222222222
2887,台新金,華南永昌,508.239,0,0,0.0
3290,東浦,國票敦北,500.826,0,0,0.0
1314,中石化,元大永康,500.055,0,0,0.0
