StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
1815,富喬,港商法興,3848.0,0,0,0
2392,正崴,元大永寧,3349.988,0,0,0
9105,泰金寶-DR,永豐台中,3249.555,0,0,0
2392,正崴,摩根大通,3097.0,0,0,0
2547,日勝生,富邦,3017.0,0,0,0
2392,正崴,美商高盛,2749.0,0,0,0
3293,鈊象,花旗環球,2680.3,0,0,0
2419,仲琦,富邦南屯,2639.0,0,0,0
6153,嘉聯益,美商高盛,2218.0,0,0,0
4157,太景*-KY,摩根大通,2204.774,0,0,0
8044,網家,統一,2073.293,0,0,0
5309,系統電,凱基三民,2028.0,0,0,0
6153,嘉聯益,瑞銀,1992.65,0,0,0
4142,國光生,摩根大通,1970.374,0,0,0
4157,太景*-KY,美商高盛亞,1895.0,0,0,0
3034,聯詠,永豐金,1848.11,0,0,0
9105,泰金寶-DR,台灣匯立,1800.0,0,0,0
4142,國光生,凱基台北,1774.0,0,0,0
2392,正崴,元大台北,1661.372,0,0,0
3712,永崴投控,台灣摩根,1658.8,0,0,0
1308,亞聚,美商高盛,1643.0,0,0,0
6153,嘉聯益,凱基台北,1634.0,0,0,0
4142,國光生,美商高盛,1576.0,0,0,0
2458,義隆,元大,1563.0,0,0,0
2034,允強,美商高盛,1561.624,0,0,0
2606,裕民,法銀巴黎,1483.0,0,0,0
2486,一詮,摩根大通,1466.0,0,0,0
4979,華星光,富邦新店,1462.656,0,0,0
2010,春源,美商高盛,1454.0,0,0,0
2498,宏達電,統一,1390.38,0,0,0
2010,春源,瑞銀,1324.994,0,0,0
2034,允強,摩根大通,1318.43,0,0,0
6202,盛群,美商高盛,1245.0,0,0,0
3231,緯創,兆豐新竹,1228.801,0,0,0
4979,華星光,港商野村,1141.0,0,0,0
2486,一詮,花旗環球,1126.0,0,0,0
2034,允強,凱基台北,1124.582,0,0,0
2392,正崴,中信松江,1083.75,0,0,0
5309,系統電,元富城中,1034.0,0,0,0
