StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
2303,聯電,康和,4785.0,3,0,0.0
1815,富喬,大和國泰,3000.0,1,0,0.0
2303,聯電,新光,2964.35,4,0,0.0
5871,中租-KY,港商法興,2526.0,0,0,0.0
6505,台塑化,台灣摩根,2523.171,3,0,0.0
1785,光洋科,摩根大通,2115.0,4,1,0.25
2313,華通,凱基,2031.077,2,0,0.0
2324,仁寶,中國信託,2012.425,1,0,0.0
1402,遠東新,台新,2007.0,3,0,0.0
2887,台新金,元大館前,1995.0,1,0,0.0
2344,華邦電,台灣匯立,1990.0,0,0,0.0
2330,台積電,凱基三多,1879.03,1,0,0.0
2887,台新金,華南南京,1689.0,1,0,0.0
2312,金寶,上海匯豐,1685.0,1,0,0.0
2834,臺企銀,國票長城,1520.0,0,0,0.0
4904,遠傳,富邦,1511.0,4,0,0.0
2466,冠西電,第一嘉義,1500.0,2,0,0.0
2886,兆豐金,中國信託,1490.78,3,0,0.0
3029,零壹,美商高盛,1424.0,1,0,0.0
2888,新光金,玉山新莊,1298.001,3,0,0.0
6451,訊芯-KY,美商高盛,1254.0,0,0,0.0
2888,新光金,元大福營,1239.0,0,0,0.0
2615,萬海,台灣匯立,1210.0,1,0,0.0
2313,華通,港商野村,1159.0,4,0,0.0
1605,華新,港麥格理,1151.0,2,0,0.0
6558,興能高,凱基台北,1135.0,1,0,0.0
1326,台化,港商野村,1036.0,3,1,0.3333333333333333
8054,安國,凱基,1025.0,0,0,0.0
2388,威盛,康和,1024.0,4,2,0.5
2520,冠德,台灣摩根,1023.0,2,0,0.0
4931,新盛力,凱基台北,1004.0,1,0,0.0
2882,國泰金,宏遠,1001.099,0,0,0.0
9105,泰金寶-DR,新光台中,974.38,3,0,0.0
2889,國票金,玉山,968.401,4,0,0.0
3189,景碩,凱基台北,964.0,3,0,0.0
1802,台玻,新光,955.606,1,1,1.0
3481,群創,凱基站前,955.0,0,0,0.0
2049,上銀,國泰綜合,953.167,0,0,0.0
6695,芯鼎,富邦仁愛,950.0,0,0,0.0
8112,至上,玉山,905.764,0,0,0.0
2547,日勝生,永豐南京,901.0,0,0,0.0
5009,榮剛,奔亞,900.0,0,0,0.0
2889,國票金,新光,878.85,0,0,0.0
2332,友訊,台灣匯立,862.0,1,0,0.0
2547,日勝生,元富基隆,845.0,0,0,0.0
3019,亞光,富邦,832.88,2,0,0.0
1301,台塑,上海匯豐,831.0,3,0,0.0
4991,環宇-KY,凱基站前,816.85,0,0,0.0
2360,致茂,台灣摩根,796.902,4,0,0.0
4931,新盛力,元大土城永,793.922,0,0,0.0
4931,新盛力,星洲瑞銀,785.0,0,0,0.0
2313,華通,統一,768.941,2,0,0.0
6138,茂達,美林證券,767.0,1,1,1.0
8054,安國,國泰綜合,766.8,0,0,0.0
4938,和碩,永豐金,748.446,4,1,0.25
3189,景碩,瑞銀,745.0,1,0,0.0
4979,華星光,美商高盛亞,738.0,3,0,0.0
1605,華新,玉山雙和,735.93,0,0,0.0
3029,零壹,摩根大通,734.0,1,0,0.0
6451,訊芯-KY,台灣摩根,725.345,1,0,0.0
1220,台榮,?亞鑫豐,722.0,1,0,0.0
8054,安國,富邦仁愛,716.0,0,0,0.0
1216,統一,美林,710.639,3,0,0.0
2501,國建,國票長城,707.0,0,0,0.0
2610,華航,元富大裕,704.0,0,0,0.0
2383,台光電,凱基站前,695.111,0,0,0.0
3323,加百裕,凱基台北,692.0,4,0,0.0
3706,神達,國泰敦南,683.839,4,0,0.0
3029,零壹,台灣摩根,676.0,1,0,0.0
6274,台燿,永豐金,675.926,0,0,0.0
2367,燿華,統一,673.0,0,0,0.0
2609,陽明,富邦台北,662.63,1,0,0.0
4938,和碩,港麥格理,661.0,2,0,0.0
2547,日勝生,中信託忠,659.873,0,0,0.0
2454,聯發科,港麥格理,659.134,2,0,0.0
2618,長榮航,國泰敦南,659.118,1,0,0.0
2809,京城銀,玉山,633.25,2,0,0.0
3047,訊舟,瑞銀,626.0,3,0,0.0
2379,瑞昱,港商野村,625.0,1,0,0.0
2609,陽明,元大敦化,618.55,0,0,0.0
1314,中石化,花旗環球,612.0,0,0,0.0
2891,中信金,元大中和,610.0,4,0,0.0
3481,群創,兆豐彰化,606.0,0,0,0.0
2883,開發金,大昌,605.0,3,0,0.0
2547,日勝生,群益大安,604.0,0,0,0.0
6443,元晶,群益台北,600.0,0,0,0.0
2313,華通,摩根大通,595.0,4,0,0.0
2308,台達電,元大,585.267,2,1,0.5
2603,長榮,企銀豐原,585.03,1,0,0.0
2887,台新金,元大新莊,579.7,1,0,0.0
2609,陽明,國泰敦南,578.957,1,0,0.0
6558,興能高,美商高盛,571.0,0,0,0.0
1815,富喬,台新台中,570.38,0,0,0.0
4938,和碩,玉山,565.11,3,0,0.0
1449,佳和,兆豐松德,560.202,0,0,0.0
2883,開發金,華南台中,558.37,2,0,0.0
2049,上銀,瑞銀,556.0,4,0,0.0
3706,神達,元大北重,551.155,0,0,0.0
2023,燁輝,第一新興,550.0,3,0,0.0
2412,中華電,華南永昌,547.912,1,0,0.0
1449,佳和,國泰敦南,545.671,0,0,0.0
2892,第一金,凱基,543.382,2,0,0.0
2313,華通,兆豐西螺,543.0,0,0,0.0
3047,訊舟,美林,543.0,0,0,0.0
9904,寶成,花旗環球,541.0,4,0,0.0
2360,致茂,美商高盛,529.0,1,0,0.0
2610,華航,永豐松山,528.625,0,0,0.0
2809,京城銀,國泰綜合,528.0,0,0,0.0
2618,長榮航,第一中山,524.935,1,0,0.0
4931,新盛力,摩根大通,524.0,0,0,0.0
3665,貿聯-KY,美商高盛,523.0,0,0,0.0
4958,臻鼎-KY,富邦,522.781,0,0,0.0
2313,華通,兆豐復興,514.0,0,0,0.0
2801,彰銀,元大民權,512.0,3,0,0.0
3029,零壹,瑞銀,507.0,1,0,0.0
2888,新光金,富邦公益,501.03,0,0,0.0
3481,群創,台新屏東,501.0,0,0,0.0
