StockID,StockName,Broker,NetBuy,TotalTrials,Successes,SuccessRate
2888,新光金,摩根大通,36543.0,36,17,0.4722222222222222
2888,新光金,台灣摩根,8150.0,39,11,0.28205128205128205
2002,中鋼,台灣摩根,7986.85,16,5,0.3125
2887,台新金,凱基台北,7699.064,33,10,0.30303030303030304
2888,新光金,港麥格理,7219.0,10,3,0.3
2888,新光金,群益,6917.67,11,4,0.36363636363636365
2324,仁寶,台灣摩根,6882.0,15,6,0.4
2887,台新金,元富城東,6509.589,11,2,0.18181818181818182
2888,新光金,群益新竹,6284.0,3,2,0.6666666666666666
2888,新光金,新光桃園,5858.182,9,3,0.3333333333333333
2353,宏碁,台灣摩根,5624.039,16,5,0.3125
2888,新光金,國票台中,5238.62,7,4,0.5714285714285714
2883,開發金,摩根大通,4963.0,32,13,0.40625
2324,仁寶,上海匯豐,4889.0,4,2,0.5
2884,玉山金,統一,4697.103,5,0,0.0
2891,中信金,富邦,4663.015,28,7,0.25
2303,聯電,統一,4507.79,8,3,0.375
2353,宏碁,港麥格理,4288.0,1,1,1.0
2014,中鴻,富邦,4179.518,2,1,0.5
2888,新光金,港商野村,4138.0,24,12,0.5
1815,富喬,富邦,3807.015,2,2,1.0
2609,陽明,瑞銀,3592.0,27,12,0.4444444444444444
2610,華航,摩根大通,3554.0,27,7,0.25925925925925924
2618,長榮航,統一,3241.0,10,4,0.4
2834,臺企銀,國票北高,3000.5,3,0,0.0
2889,國票金,群益,2979.239,6,2,0.3333333333333333
1101,台泥,台灣摩根,2908.0,18,3,0.16666666666666666
2498,宏達電,凱基台南,2886.002,0,0,0.0
2610,華航,台灣摩根,2871.0,27,9,0.3333333333333333
1101,台泥,瑞銀,2840.0,20,3,0.15
2891,中信金,兆豐,2795.0,18,11,0.6111111111111112
2885,元大金,瑞銀,2764.0,25,9,0.36
1402,遠東新,統一,2695.0,3,1,0.3333333333333333
2885,元大金,元大,2582.924,33,11,0.3333333333333333
5876,上海商銀,摩根大通,2558.0,17,4,0.23529411764705882
2637,慧洋-KY,摩根大通,2498.0,9,4,0.4444444444444444
2888,新光金,統一永和,2243.0,4,2,0.5
2888,新光金,國票博愛,2229.0,6,2,0.3333333333333333
2890,永豐金,元大,2225.617,35,16,0.45714285714285713
4904,遠傳,統一,2192.321,4,0,0.0
2618,長榮航,富邦,2170.113,26,7,0.2692307692307692
2353,宏碁,花旗環球,2126.0,10,5,0.5
6770,力積電,元大善化,2111.0,0,0,0.0
2609,陽明,台灣摩根,2039.0,25,13,0.52
3045,台灣大,統一,1999.0,4,1,0.25
2884,玉山金,瑞銀,1989.0,28,10,0.35714285714285715
2498,宏達電,凱基市政,1960.997,0,0,0.0
2891,中信金,元富,1947.566,22,7,0.3181818181818182
